ind_id,FROM,TO,NET
E_AI,0.8722260663782139,1.3853680648154756,0.5131419984372617
MFG_COKE,0.6426573972035973,1.1352816019838732,0.4926242047802759
MFG_TEX,1.137200321523606,1.4398606504730416,0.3026603289494356
E_BIO,0.6715762413519446,0.9741777426005284,0.30260150124858376
BUS_FAC,1.1056382498762918,1.383519963920495,0.27788171404420314
PER_ASSOC,1.131392338904029,1.3153998622823102,0.1840075233782812
MFG_PAPER,1.15857021416028,1.341210519358807,0.18264030519852703
PRO_RND,1.178684742164131,1.3566980826208233,0.17801334045669215
MFG_WOOD,1.144581804630053,1.3194356912802132,0.1748538866501601
MIN_NONMET,1.055498000143146,1.2294825095695738,0.17398450942642785
ART_CRE,1.0796702913271587,1.252091606586072,0.17242131525891335
MIN_MET,1.055149749267555,1.22717033588273,0.17202058661517494
H_ELEC,1.0391314244337722,1.2064543080292804,0.1673228835955083
E_SEMI,1.0391314244337722,1.2064543080292804,0.1673228835955083
MFG_APP,1.1307475273001726,1.2803667162136916,0.149619188913519
H_INFOSVC,0.6349336654708546,0.774098293654327,0.13916462818347242
H_MEDIA,0.9332354493831687,1.070399046275497,0.13716359689232838
BUS_SUP,1.0685509998210507,1.203993960825897,0.1354429610048462
PER_REP,1.1248194134491767,1.256782562680844,0.1319631492316673
ACF_FOOD,1.0302036226550968,1.153851818677678,0.12364819602258126
BUS_RENT,1.068548143732471,1.1914937970710306,0.12294565333855956
PER_OTH,1.1247878274172671,1.247251071183684,0.12246324376641682
MFG_PRINT,1.1413571184569873,1.260864135683483,0.11950701722649582
MFG_FOOD,1.1112075525693685,1.2170460875536726,0.10583853498430407
MFG_LEATHER,1.1187682635704228,1.2141171828853787,0.09534891931495593
PRO_PRO,1.175322623739343,1.2629431478600708,0.08762052412072774
MFG_BEV,1.0818496678359526,1.1568991708385026,0.07504950300254998
E_BATT,0.9864829473012933,1.0615174158709137,0.07503446856962048
H_ELECEQ,0.9864829473012938,1.0615174158709133,0.07503446856961948
UTL_WASTE,1.0736957560570013,1.1429920764476638,0.06929632039066247
UTL_WATER,1.0759900280706867,1.1419808622983894,0.06599083422770269
PRO_ETC,1.1757359239222147,1.241445095058885,0.06570917113667019
PRO_ENG,1.1750029795961592,1.2395367085566817,0.06453372896052256
MIN_COAL,1.0488730954818282,1.1132088016069572,0.06433570612512907
H_HEALTH,0.9137805517017978,0.9567057640954925,0.04292521239369462
E_HEALTH,0.9137805517017968,0.9567057640954896,0.042925212393692735
MFG_OTH,1.1016505218022925,1.1439409094216408,0.042290387619348335
MFG_TOB,1.070678469872075,1.1118478663031957,0.04116939643112061
MFG_REP,1.0979432635071122,1.1308671140225108,0.03292385051539859
MFG_OTRANS,0.9709768257570429,0.9944929247413679,0.02351609898432494
E_CONT,0.9457219229190904,0.9665956244494857,0.02087370153039525
MFG_AUTO,0.9397576503896407,0.9528736488293386,0.013115998439697907
E_RENEW,0.8680248401165406,0.8729208465511871,0.004896006434646494
H_UTIL,0.8680248401165406,0.8729208465511871,0.004896006434646494
UTL_SEW,1.0662439107588126,1.0492650366508631,-0.016978874107949515
ACF_LODGE,1.0167171780902051,0.9778293285374229,-0.03888784955278224
TRN_LAND,1.0890696263031086,1.0033123770049468,-0.08575724929816175
MFG_FURN,1.0920435062344143,1.005355117996109,-0.08668838823830516
FIN_AUX,0.9584265061578668,0.8451026584228164,-0.11332384773505044
FIN_INS,0.957997861772499,0.8433256631557254,-0.11467219861677358
H_CHEM,1.0164117185974606,0.8676946772148348,-0.14871704138262576
TRN_WARE,1.0434952132616375,0.8858422870867354,-0.15765292617490212
MFG_PREC,0.9657562911512073,0.8047686288291337,-0.16098766232207362
FIN_BANK,0.9126752791064975,0.7427224428541027,-0.16995283625239477
MFG_MACH,0.9644235808017638,0.7854303312131864,-0.17899324958857743
TRN_AIR,1.057268291735107,0.8610939529059802,-0.19617433882912683
H_RETAIL,0.8788825179797365,0.6673701585579178,-0.21151235942181867
MFG_STEEL,1.0254153167504765,0.7754764301811871,-0.24993888656928942
ICT_TEL,0.6840822650619963,0.43408102220808775,-0.25000124285390857
ART_SPO,1.0554666828974335,0.7881471081089186,-0.26731957478851487
E_PLAT,0.8103358455581411,0.5417705968617369,-0.2685652486964042
CON,0.7069597773089124,0.41354782013917846,-0.2934119571697339
HW_WELF,0.9083654449327725,0.6103562030732967,-0.29800924185947575
RE,0.7155840744629501,0.39677828704161155,-0.3188057874213386
AGR,0.48229253578462217,0.1583180675620155,-0.32397446822260667
TRN_SEA,0.9947458497168208,0.668401622369618,-0.3263442273472028
MFG_METAL,0.6774841841801172,0.32991780623649697,-0.3475663779436203
MFG_NONMET,0.7649415138283223,0.41716724714378384,-0.3477742666845385
PUB,0.5610402915973733,0.20585001229623193,-0.35519027930114144
EDU,0.8052110622612079,0.37567277584525605,-0.4295382864159518
